Time,Ground Truth,Estimation
0,300,227
1,300,262
2,300,275
3,300,262
4,300,294
5,300,307
6,300,250
7,300,230
8,300,410
9,300,269
10,300,371
11,300,256
12,299,250
13,300,256
14,300,237
15,299,211
16,300,198
17,300,333
18,300,371
19,300,221
20,299,307
21,300,246
22,300,346
23,300,282
24,300,346
25,300,275
26,300,320
27,300,282
28,300,294
29,300,243
